,Régions,Nouveaux Cas,Décès,Régions Ar
0,Région Grand Casablanca-Settat,1889,22,جهة الدار البيضاء سطات
1,Casablanca,1454,22,الدار البيضاء
2,Mohammadia,93,0,المحمدية
3,Berrechid,81,0,برشيد
4,Nouaceur,59,0,النواصر
5,El Jadida,59,0,الجديدة
6,Médiouna,48,0,مديونة
7,Settat,36,0,سطات
8,Sidi Bennour,35,0,سيدي بنور
9,Benslimane,24,0,بن سليمان
10,Région Rabat - Salé-Kenitra,818,4,جهة الرباط سلا القنيطرة
11,Kénitra,271,0,القنيطرة
12,Salé,223,2,سلا
13,Skhirate- Témara,151,0,الصخيات-تمارة
14,Rabat,81,2,الرباط
15,Sidi Kacem,52,0,سيدي قاسم
16,Khémisset,36,0,الخميسات
17,Sidi Slimane,4,0,سيدي سليمان
18,Région Souss - Massa,521,4,جهة سوس ماسة
19,Agadir-Ida -Ou-Tanane,270,1,أكادير إدا وتنان
20,Inezgane- Ait Melloul,105,2,إنزكان آيت ملول
21,Taroudannt,63,0,تارودانت
22,Chtouka- Ait Baha,46,0,اشتوكة آيت باها
23,Tiznit,37,1,تزنيت
24,Région Tanger -Tétouan- Al Hoceima,456,12,جهة طنجة تطوان الحسيمة
25,Tanger-Assilah,186,1,طنجة-أصيلة
26,Tétouan,110,3,تطوان
27,M'Diq-Fnideq,51,0,المضيق الفنيدق
28,Larache,35,2,العرائش
29,Al Hoceima,27,1,الحسيمة
30,Chefchaouen,24,3,شفشاون
31,Ouezzane,21,2,وزان
32,Fahs Anjra,2,0,الفحص أنجرة
33,Région Marrakech- Safi,355,6,جهة مراكش آسف
34,Marrakech,190,4,مراكش
35,Essaouira,55,0,الصويرة
36,El Kelâa des  Sraghna,39,0,قلعة السراغنة
37,Chichaoua,25,1,شيشاوة
38,Youssoufia,15,1,اليوسفية
39,Safi,12,0,آسف
40,Al  Haouz,11,0,الحوز
41,Rehamna,8,0,الرحامنة
42,Région de l'Oriental,312,6,جهة الشق
43,Oujda-Angad,110,1,وجدة - أنجاد
44,Nador,76,1,الناظور
45,Berkane,54,2,بركان
46,Driouch,40,0,الدريوش
47,Guercif,17,1,جرسيف
48,Taourirt,7,1,تاوريرت
49,Jerada,6,0,جرادة
50,Figuig,2,0,فجيج
51,Région Guelmim –Oued Noun,143,1,جهة كلميم واد نون
52,Guelmim,118,0,كلميم
53,Sidi Ifni,24,0,سيدي إفن
54,Tan Tan,1,1,طان طان
55,Région Beni Mellal- Khénifra,124,4,جهة بن ملال خنيفرة
56,Khouribga,46,2,خريبكة
57,Azilal,29,0,أزيلال
58,Béni Mellal,20,2,بن ملال
59,Fquih Ben Salah,17,0,الفقيه بن صالح
60,Khénifra,12,0,خنيفرة
61,Région Laâyoune - Sakia El Hamra,97,0,جهة العيون الساقية الحمراء
62,Laâyoune,71,0,العيون
63,Es-Semara,14,0,السمارة
64,Boujdour,10,0,بوجدور
65,Tarfaya,2,0,طرفاية
66,Région Fès - Meknès,93,8,جهة فاس مكناس
67,Fès,36,2,فاس
68,Meknès,16,3,مكناس
69,Taza,15,1,تازة
70,Sefrou,12,1,صفرو
71,Taounate,8,1,تاونات
72,Moulay Yaacoub,4,0,مولاي يعقوب
73,El  Hajeb,2,0,الحاجب
74,Région Dakhla-Oued Eddahab,90,0,جهة الداخلة وادي الذهب
75,Oued Ed-Dahab,90,0,وادي الذهب
76,Région Darâa-Tafilalet,81,3,جهة درعة تافيلالت
77,Errachidia,45,0,الرشيدية
78,Ouarzazate,14,0,ورززات
79,Midelt,9,0,ميدلت
80,Zagora,8,1,زاكورة
81,Tinghir,5,2,تنغي
