,Régions,Nouveaux Cas,Décès,Régions Ar
0,Région Grand Casablanca-Settat,1738,33,جهة الدار البيضاء سطات
1,Casablanca,1359,15,الدار البيضاء
2,Nouaceur,87,0,النواصر
3,Mohammadia,78,0,المحمدية
4,El Jadida,66,9,الجديدة
5,Berrechid,65,2,برشيد
6,Settat,55,5,سطات
7,Médiouna,21,0,مديونة
8,Sidi Bennour,4,2,سيدي بنور
9,Benslimane,3,0,بن سليمان
10,Région Rabat - Salé-Kenitra,876,8,جهة الرباط سلا القنيطرة
11,Salé,256,1,سلا
12,Skhirate- Témara,231,0,الصخيات-تمارة
13,Kénitra,163,1,القنيطرة
14,Rabat,100,3,الرباط
15,Sidi Kacem,73,1,سيدي قاسم
16,Sidi Slimane,39,1,سيدي سليمان
17,Khémisset,14,1,الخميسات
18,Région Souss - Massa,432,2,جهة سوس ماسة
19,Agadir-Ida -Ou-Tanane,235,2,أكادير إدا وتنان
20,Inezgane- Ait Melloul,75,0,إنزكان آيت ملول
21,Taroudannt,75,0,تارودانت
22,Chtouka- Ait Baha,37,0,اشتوكة آيت باها
23,Tiznit,10,0,تزنيت
24,Région Tanger -Tétouan- Al Hoceima,418,13,جهة طنجة تطوان الحسيمة
25,Tanger-Assilah,203,2,طنجة-أصيلة
26,Tétouan,69,3,تطوان
27,Chefchaouen,39,1,شفشاون
28,M'Diq-Fnideq,37,0,المضيق الفنيدق
29,Larache,33,0,العرائش
30,Al Hoceima,18,7,الحسيمة
31,Fahs Anjra,11,0,الفحص أنجرة
32,Ouezzane,8,0,وزان
33,Région de l'Oriental,371,12,جهة الشق
34,Nador,126,1,الناظور
35,Oujda-Angad,82,4,وجدة - أنجاد
36,Berkane,61,2,بركان
37,Jerada,54,0,جرادة
38,Taourirt,29,0,تاوريرت
39,Figuig,13,2,فجيج
40,Guercif,4,0,جرسيف
41,Driouch,2,3,الدريوش
42,Région Marrakech- Safi,329,8,جهة مراكش آسف
43,Marrakech,188,4,مراكش
44,Essaouira,43,2,الصويرة
45,Safi,40,0,آسف
46,Youssoufia,24,1,اليوسفية
47,Rehamna,17,1,الرحامنة
48,El Kelâa des  Sraghna,17,0,قلعة السراغنة
49,Région Guelmim –Oued Noun,151,1,جهة كلميم واد نون
50,Guelmim,115,1,كلميم
51,Sidi Ifni,25,0,سيدي إفن
52,Tan Tan,9,0,طان طان
53,Assa-Zag,2,0,آسا الزاك
54,Région Darâa-Tafilalet,85,2,جهة درعة تافيلالت
55,Errachidia,28,2,الرشيدية
56,Midelt,27,0,ميدلت
57,Ouarzazate,13,0,ورززات
58,Zagora,9,0,زاكورة
59,Tinghir,8,0,تنغي
60,Région Beni Mellal- Khénifra,125,7,جهة بن ملال خنيفرة
61,Khouribga,51,3,خريبكة
62,Fquih Ben Salah,29,2,الفقيه بن صالح
63,Béni Mellal,26,1,بن ملال
64,Azilal,12,1,أزيلال
65,Khénifra,7,0,خنيفرة
66,Région Laâyoune - Sakia El Hamra,74,0,جهة العيون الساقية الحمراء
67,Laâyoune,47,0,العيون
68,Es-Semara,12,0,السمارة
69,Tarfaya,9,0,طرفاية
70,Boujdour,6,0,بوجدور
71,Région Fès - Meknès,68,6,جهة فاس مكناس
72,Fès,32,1,فاس
73,Meknès,14,0,مكناس
74,Sefrou,12,2,صفرو
75,Taza,7,1,تازة
76,Ifrane,3,0,إفران
77,El  Hajeb,0,2,الحاجب
78,Région Dakhla-Oued Eddahab,39,0,جهة الداخلة وادي الذهب
79,Oued Ed-Dahab,39,0,وادي الذهب
