,Régions,Nouveaux Cas,Décès,Régions Ar
0,Région Grand Casablanca-Settat,2387,19,جهة الدار البيضاء سطات
1,Casablanca,2038,18,الدار البيضاء
2,Berrechid,98,0,برشيد
3,Nouaceur,94,0,النواصر
4,Mohammadia,41,0,المحمدية
5,Médiouna,37,0,مديونة
6,El Jadida,34,1,الجديدة
7,Settat,25,0,سطات
8,Sidi Bennour,13,0,سيدي بنور
9,Benslimane,7,0,بن سليمان
10,Région Rabat - Salé-Kenitra,1062,16,جهة الرباط سلا القنيطرة
11,Kénitra,430,3,القنيطرة
12,Salé,198,5,سلا
13,Skhirate- Témara,198,3,الصخيات-تمارة
14,Rabat,127,3,الرباط
15,Khémisset,91,2,الخميسات
16,Sidi Kacem,14,0,سيدي قاسم
17,Sidi Slimane,4,0,سيدي سليمان
18,Région de l'Oriental,642,6,جهة الشق
19,Oujda-Angad,280,2,وجدة - أنجاد
20,Taourirt,105,1,تاوريرت
21,Jerada,74,0,جرادة
22,Guercif,56,1,جرسيف
23,Driouch,55,0,الدريوش
24,Nador,52,0,الناظور
25,Berkane,20,2,بركان
26,Région Souss - Massa,593,4,جهة سوس ماسة
27,Agadir-Ida -Ou-Tanane,318,1,أكادير إدا وتنان
28,Inezgane- Ait Melloul,163,3,إنزكان آيت ملول
29,Taroudannt,39,0,تارودانت
30,Chtouka- Ait Baha,31,0,اشتوكة آيت باها
31,Tiznit,42,0,تزنيت
32,Région Tanger -Tétouan- Al Hoceima,424,5,جهة طنجة تطوان الحسيمة
33,Tanger-Assilah,187,0,طنجة-أصيلة
34,Tétouan,63,1,تطوان
35,Al Hoceima,46,1,الحسيمة
36,Larache,39,1,العرائش
37,Ouezzane,38,2,وزان
38,M'Diq-Fnideq,34,0,المضيق الفنيدق
39,Chefchaouen,14,0,شفشاون
40,Fahs Anjra,3,0,الفحص أنجرة
41,Région Marrakech- Safi,345,6,جهة مراكش آسف
42,Marrakech,257,1,مراكش
43,Essaouira,21,0,الصويرة
44,Youssoufia,19,2,اليوسفية
45,Al  Haouz,19,0,الحوز
46,El Kelâa des  Sraghna,16,2,قلعة السراغنة
47,Chichaoua,8,0,شيشاوة
48,Rehamna,5,1,الرحامنة
49,Région Beni Mellal- Khénifra,189,4,جهة بن ملال خنيفرة
50,Khouribga,80,0,خريبكة
51,Béni Mellal,40,1,بن ملال
52,Fquih Ben Salah,28,0,الفقيه بن صالح
53,Khénifra,22,1,خنيفرة
54,Azilal,19,2,أزيلال
55,Région Guelmim –Oued Noun,147,0,جهة كلميم واد نون
56,Guelmim,134,0,كلميم
57,Assa-Zag,11,0,آسا الزاك
58,Sidi Ifni,2,0,سيدي إفن
59,Région Fès - Meknès,140,3,جهة فاس مكناس
60,Fès,35,1,فاس
61,Taza,33,2,تازة
62,Taounate,31,0,تاونات
63,Meknès,14,0,مكناس
64,Ifrane,12,0,إفران
65,Sefrou,10,0,صفرو
66,El  Hajeb,4,0,الحاجب
67,Boulemane,1,0,بولمان
68,Région Darâa-Tafilalet,126,1,جهة درعة تافيلالت
69,Errachidia,50,1,الرشيدية
70,Midelt,27,0,ميدلت
71,Ouarzazate,23,0,ورززات
72,Tinghir,17,0,تنغي
73,Zagora,9,0,زاكورة
74,Région Laâyoune - Sakia El Hamra,104,0,جهة العيون الساقية الحمراء
75,Laâyoune,83,0,العيون
76,Tarfaya,13,0,طرفاية
77,Es-Semara,5,0,السمارة
78,Boujdour,3,0,بوجدور
79,Région Dakhla-Oued Eddahab,36,0,جهة الداخلة وادي الذهب
80,Oued Ed-Dahab,36,0,وادي الذهب
