,Régions,Nouveaux Cas,Décès,Régions Ar
0,Région Grand Casablanca-Settat,1727,18,جهة الدار البيضاء سطات
1,Casablanca,1302,16,الدار البيضاء
2,Nouaceur,74,0,النواصر
3,El Jadida,71,1,الجديدة
4,Berrechid,65,0,برشيد
5,Mohammadia,64,0,المحمدية
6,Settat,54,1,سطات
7,Sidi Bennour,45,0,سيدي بنور
8,Médiouna,31,0,مديونة
9,Benslimane,21,0,بن سليمان
10,Région Rabat - Salé-Kenitra,937,13,جهة الرباط سلا القنيطرة
11,Skhirate- Témara,294,2,الصخيات-تمارة
12,Salé,248,4,سلا
13,Kénitra,216,1,القنيطرة
14,Rabat,82,5,الرباط
15,Khémisset,51,0,الخميسات
16,Sidi Slimane,33,1,سيدي سليمان
17,Sidi Kacem,13,0,سيدي قاسم
18,Région Souss - Massa,407,5,جهة سوس ماسة
19,Agadir-Ida -Ou-Tanane,190,0,أكادير إدا وتنان
20,Inezgane- Ait Melloul,80,2,إنزكان آيت ملول
21,Taroudannt,44,1,تارودانت
22,Chtouka- Ait Baha,43,0,اشتوكة آيت باها
23,Tata,39,2,طاطا
24,Tiznit,11,0,تزنيت
25,Région Tanger -Tétouan- Al Hoceima,372,7,جهة طنجة تطوان الحسيمة
26,Tanger-Assilah,170,0,طنجة-أصيلة
27,Tétouan,41,3,تطوان
28,Ouezzane,41,1,وزان
29,Larache,41,1,العرائش
30,M'Diq-Fnideq,40,0,المضيق الفنيدق
31,Chefchaouen,21,0,شفشاون
32,Al Hoceima,18,2,الحسيمة
33,Région Marrakech- Safi,354,7,جهة مراكش آسف
34,Marrakech,202,4,مراكش
35,Essaouira,51,0,الصويرة
36,El Kelâa des  Sraghna,28,0,قلعة السراغنة
37,Chichaoua,4,0,شيشاوة
38,Al  Haouz,17,0,الحوز
39,Youssoufia,21,0,اليوسفية
40,Rehamna,4,2,الرحامنة
41,Safi,27,1,آسف
42,Région de l'Oriental,196,6,جهة الشق
43,Oujda-Angad,50,3,وجدة - أنجاد
44,Nador,50,0,الناظور
45,Berkane,35,1,بركان
46,Guercif,9,1,جرسيف
47,Jerada,18,0,جرادة
48,Figuig,1,1,فجيج
49,Taourirt,27,0,تاوريرت
50,Driouch,6,0,الدريوش
51,Région Guelmim –Oued Noun,167,2,جهة كلميم واد نون
52,Guelmim,107,1,كلميم
53,Tan Tan,33,0,طان طان
54,Sidi Ifni,27,1,سيدي إفن
55,Région Laâyoune - Sakia El Hamra,150,1,جهة العيون الساقية الحمراء
56,Laâyoune,117,1,العيون
57,Boujdour,14,0,بوجدور
58,Es-Semara,11,0,السمارة
59,Tarfaya,8,0,طرفاية
60,Région Fès - Meknès,105,6,جهة فاس مكناس
61,Fès,41,3,فاس
62,Taza,17,0,تازة
63,Meknès,14,0,مكناس
64,Moulay Yaacoub,9,1,مولاي يعقوب
65,Sefrou,7,1,صفرو
66,Taounate,7,0,تاونات
67,Boulemane,5,0,بولمان
68,Ifrane,4,1,إفران
69,El  Hajeb,1,0,الحاجب
70,Région Darâa-Tafilalet,75,1,جهة درعة تافيلالت
71,Errachidia,35,0,الرشيدية
72,Ouarzazate,19,1,ورززات
73,Tinghir,11,0,تنغي
74,Midelt,9,0,ميدلت
75,Zagora,1,0,زاكورة
76,Région Beni Mellal- Khénifra,61,4,جهة بن ملال خنيفرة
77,Béni Mellal,24,2,بن ملال
78,Fquih Ben Salah,19,1,الفقيه بن صالح
79,Khouribga,9,1,خريبكة
80,Khénifra,6,0,خنيفرة
81,Azilal,3,0,أزيلال
82,Région Dakhla-Oued Eddahab,41,0,جهة الداخلة وادي الذهب
83,Oued Ed-Dahab,41,0,وادي الذهب
