,Régions,Nouveaux Cas,Décès,Régions Ar
0,Région Grand Casablanca-Settat,2254,18,جهة الدار البيضاء سطات
1,Casablanca,1607,15,الدار البيضاء
2,Nouaceur,217,0,النواصر
3,Mohammadia,157,0,المحمدية
4,El Jadida,86,1,الجديدة
5,Berrechid,73,0,برشيد
6,Settat,54,0,سطات
7,Benslimane,26,2,بن سليمان
8,Médiouna,21,0,مديونة
9,Sidi Bennour,13,0,سيدي بنور
10,Région Rabat - Salé-Kenitra,1036,6,جهة الرباط سلا القنيطرة
11,Salé,362,0,سلا
12,Skhirate- Témara,229,2,الصخيات-تمارة
13,Kénitra,155,2,القنيطرة
14,Rabat,125,2,الرباط
15,Sidi Slimane,61,0,سيدي سليمان
16,Sidi Kacem,56,0,سيدي قاسم
17,Khémisset,48,0,الخميسات
18,Région Souss - Massa,655,7,جهة سوس ماسة
19,Agadir-Ida -Ou-Tanane,338,2,أكادير إدا وتنان
20,Inezgane- Ait Melloul,183,1,إنزكان آيت ملول
21,Taroudannt,48,3,تارودانت
22,Tiznit,43,0,تزنيت
23,Chtouka- Ait Baha,30,0,اشتوكة آيت باها
24,Tata,13,1,طاطا
25,Région de l'Oriental,501,8,جهة الشق
26,Oujda-Angad,163,2,وجدة - أنجاد
27,Berkane,135,1,بركان
28,Nador,82,3,الناظور
29,Taourirt,37,2,تاوريرت
30,Guercif,31,0,جرسيف
31,Figuig,25,0,فجيج
32,Jerada,23,0,جرادة
33,Driouch,5,0,الدريوش
34,Région Tanger -Tétouan- Al Hoceima,443,8,جهة طنجة تطوان الحسيمة
35,Tanger-Assilah,176,2,طنجة-أصيلة
36,Tétouan,100,1,تطوان
37,Larache,60,5,العرائش
38,M'Diq-Fnideq,44,0,المضيق الفنيدق
39,Chefchaouen,36,0,شفشاون
40,Al Hoceima,24,0,الحسيمة
41,Ouezzane,2,0,وزان
42,Fahs Anjra,1,0,الفحص أنجرة
43,Région Marrakech- Safi,283,7,جهة مراكش آسف
44,Marrakech,182,5,مراكش
45,El Kelâa des  Sraghna,28,0,قلعة السراغنة
46,Essaouira,22,1,الصويرة
47,Rehamna,18,1,الرحامنة
48,Chichaoua,15,0,شيشاوة
49,Youssoufia,10,0,اليوسفية
50,Al  Haouz,8,0,الحوز
51,Région Beni Mellal- Khénifra,201,6,جهة بن ملال خنيفرة
52,Khouribga,69,4,خريبكة
53,Fquih Ben Salah,53,1,الفقيه بن صالح
54,Béni Mellal,37,1,بن ملال
55,Azilal,23,0,أزيلال
56,Khénifra,19,0,خنيفرة
57,Région Guelmim –Oued Noun,142,2,جهة كلميم واد نون
58,Guelmim,112,2,كلميم
59,Sidi Ifni,21,0,سيدي إفن
60,Tan Tan,9,0,طان طان
61,Région Fès - Meknès,117,4,جهة فاس مكناس
62,Fès,41,1,فاس
63,Taounate,25,1,تاونات
64,Sefrou,20,0,صفرو
65,Meknès,12,1,مكناس
66,Taza,9,0,تازة
67,Boulemane,7,1,بولمان
68,El  Hajeb,3,0,الحاجب
69,Région Darâa-Tafilalet,107,0,جهة درعة تافيلالت
70,Midelt,38,0,ميدلت
71,Errachidia,35,0,الرشيدية
72,Ouarzazate,18,0,ورززات
73,Tinghir,12,0,تنغي
74,Zagora,4,0,زاكورة
75,Région Laâyoune - Sakia El Hamra,76,0,جهة العيون الساقية الحمراء
76,Laâyoune,54,0,العيون
77,Es-Semara,13,0,السمارة
78,Boujdour,6,0,بوجدور
79,Tarfaya,3,0,طرفاية
80,Région Dakhla-Oued Eddahab,60,0,جهة الداخلة وادي الذهب
81,Oued Ed-Dahab,60,0,وادي الذهب
