,Régions,Nouveaux Cas,Décès,Régions Ar
0,Région Rabat - Salé-Kenitra,875,13,جهة الرباط سلا القنيطرة
1,Kénitra,314,2,القنيطرة
2,Skhirate- Témara,221,2,الصخيات-تمارة
3,Salé,124,4,سلا
4,Rabat,121,3,الرباط
5,Sidi Kacem,63,0,سيدي قاسم
6,Khémisset,30,1,الخميسات
7,Sidi Slimane,2,1,سيدي سليمان
8,Région Grand Casablanca-Settat,630,19,جهة الدار البيضاء سطات
9,Casablanca,560,18,الدار البيضاء
10,Nouaceur,26,0,النواصر
11,Mohammadia,18,0,المحمدية
12,El Jadida,7,0,الجديدة
13,Benslimane,6,0,بن سليمان
14,Settat,6,1,سطات
15,Médiouna,4,0,مديونة
16,Berrechid,3,0,برشيد
17,Région de l'Oriental,366,8,جهة الشق
18,Oujda-Angad,81,3,وجدة - أنجاد
19,Berkane,70,5,بركان
20,Jerada,51,0,جرادة
21,Driouch,48,0,الدريوش
22,Taourirt,47,0,تاوريرت
23,Nador,40,0,الناظور
24,Guercif,29,0,جرسيف
25,Région Souss - Massa,342,3,جهة سوس ماسة
26,Agadir-Ida -Ou-Tanane,128,0,أكادير إدا وتنان
27,Inezgane- Ait Melloul,97,1,إنزكان آيت ملول
28,Taroudannt,68,1,تارودانت
29,Chtouka- Ait Baha,25,0,اشتوكة آيت باها
30,Tata,24,1,طاطا
31,Région Tanger -Tétouan- Al Hoceima,303,7,جهة طنجة تطوان الحسيمة
32,Tétouan,99,2,تطوان
33,Tanger-Assilah,79,1,طنجة-أصيلة
34,M'Diq-Fnideq,55,1,المضيق الفنيدق
35,Chefchaouen,37,1,شفشاون
36,Al Hoceima,21,2,الحسيمة
37,Ouezzane,11,0,وزان
38,Fahs Anjra,1,0,الفحص أنجرة
39,Région Marrakech- Safi,174,6,جهة مراكش آسف
40,Marrakech,98,5,مراكش
41,Essaouira,30,0,الصويرة
42,El Kelâa des  Sraghna,19,1,قلعة السراغنة
43,Chichaoua,12,0,شيشاوة
44,Youssoufia,7,0,اليوسفية
45,Rehamna,6,0,الرحامنة
46,Safi,1,0,آسف
47,Al  Haouz,1,0,الحوز
48,Région Fès - Meknès,153,8,جهة فاس مكناس
49,Taza,41,0,تازة
50,Fès,31,1,فاس
51,Sefrou,24,0,صفرو
52,Taounate,19,2,تاونات
53,Boulemane,15,0,بولمان
54,Meknès,13,2,مكناس
55,Ifrane,10,0,إفران
56,El  Hajeb,0,3,الحاجب
57,Région Beni Mellal- Khénifra,76,4,جهة بن ملال خنيفرة
58,Béni Mellal,31,0,بن ملال
59,Khouribga,23,4,خريبكة
60,Azilal,14,0,أزيلال
61,Khénifra,8,0,خنيفرة
62,Région Darâa-Tafilalet,62,1,جهة درعة تافيلالت
63,Midelt,24,0,ميدلت
64,Errachidia,21,1,الرشيدية
65,Ouarzazate,7,0,ورززات
66,Tinghir,6,0,تنغي
67,Zagora,4,0,زاكورة
68,Région Dakhla-Oued Eddahab,28,0,جهة الداخلة وادي الذهب
69,Oued Ed-Dahab,28,0,وادي الذهب
70,Région Guelmim –Oued Noun,3,0,جهة كلميم واد نون
71,Guelmim,3,0,كلميم
72,Région Laâyoune - Sakia El Hamra,0,2,جهة العيون الساقية الحمراء
73,Laâyoune,0,2,العيون
