,Régions,Nouveaux Cas,Décès,Régions Ar
0,Région Grand Casablanca-Settat,729,26,جهة الدار البيضاء سطات
1,Casablanca,596,25,الدار البيضاء
2,El Jadida,61,0,الجديدة
3,Mohammadia,32,0,المحمدية
4,Nouaceur,18,0,النواصر
5,Berrechid,8,1,برشيد
6,Médiouna,6,0,مديونة
7,Settat,5,0,سطات
8,Sidi Bennour,2,0,سيدي بنور
9,Benslimane,1,0,بن سليمان
10,Région Rabat - Salé-Kenitra,663,12,جهة الرباط سلا القنيطرة
11,Kénitra,240,1,القنيطرة
12,Khémisset,108,2,الخميسات
13,Rabat,99,2,الرباط
14,Salé,82,6,سلا
15,Skhirate- Témara,60,0,الصخيات-تمارة
16,Sidi Kacem,45,0,سيدي قاسم
17,Sidi Slimane,29,1,سيدي سليمان
18,Région Souss - Massa,366,4,جهة سوس ماسة
19,Agadir-Ida -Ou-Tanane,159,2,أكادير إدا وتنان
20,Taroudannt,76,0,تارودانت
21,Inezgane- Ait Melloul,63,1,إنزكان آيت ملول
22,Tiznit,51,0,تزنيت
23,Chtouka- Ait Baha,17,0,اشتوكة آيت باها
24,Tata,0,1,طاطا
25,Région Marrakech- Safi,232,5,جهة مراكش آسف
26,Marrakech,89,3,مراكش
27,Youssoufia,38,0,اليوسفية
28,Essaouira,32,1,الصويرة
29,Safi,26,0,آسف
30,Chichaoua,22,1,شيشاوة
31,El Kelâa des  Sraghna,20,0,قلعة السراغنة
32,Rehamna,4,0,الرحامنة
33,Al  Haouz,1,0,الحوز
34,Région Tanger -Tétouan- Al Hoceima,200,8,جهة طنجة تطوان الحسيمة
35,Tanger-Assilah,74,1,طنجة-أصيلة
36,Tétouan,56,4,تطوان
37,M'Diq-Fnideq,26,0,المضيق الفنيدق
38,Al Hoceima,21,2,الحسيمة
39,Chefchaouen,18,0,شفشاون
40,Ouezzane,5,0,وزان
41,Larache,0,1,العرائش
42,Région de l'Oriental,194,9,جهة الشق
43,Berkane,81,1,بركان
44,Oujda-Angad,60,4,وجدة - أنجاد
45,Nador,40,0,الناظور
46,Guercif,0,3,جرسيف
47,Jerada,11,0,جرادة
48,Figuig,1,0,فجيج
49,Taourirt,1,0,تاوريرت
50,Driouch,0,1,الدريوش
51,Région Beni Mellal- Khénifra,58,7,جهة بن ملال خنيفرة
52,Khénifra,18,1,خنيفرة
53,Béni Mellal,18,5,بن ملال
54,Khouribga,15,0,خريبكة
55,Fquih Ben Salah,7,0,الفقيه بن صالح
56,Azilal,0,1,أزيلال
57,Région Fès - Meknès,48,2,جهة فاس مكناس
58,Fès,25,1,فاس
59,Meknès,15,0,مكناس
60,Sefrou,5,0,صفرو
61,Moulay Yaacoub,2,0,مولاي يعقوب
62,Taounate,1,0,تاونات
63,Taza,0,1,تازة
64,Région Dakhla-Oued Eddahab,38,0,جهة الداخلة وادي الذهب
65,Oued Ed-Dahab,38,0,وادي الذهب
66,Région Darâa-Tafilalet,29,4,جهة درعة تافيلالت
67,Midelt,16,1,ميدلت
68,Zagora,8,0,زاكورة
69,Ouarzazate,5,0,ورززات
70,Errachidia,0,3,الرشيدية
71,Région Laâyoune - Sakia El Hamra,26,1,جهة العيون الساقية الحمراء
72,Laâyoune,26,0,العيون
73,Es-Semara,0,1,السمارة
74,Région Guelmim –Oued Noun,4,2,جهة كلميم واد نون
75,Guelmim,4,1,كلميم
76,Tan Tan,0,1,طان طان
