,Régions,Nouveaux Cas,Décès,Régions Ar
0,Région Grand Casablanca-Settat,1601,17,جهة الدار البيضاء سطات
1,Casablanca,1304,17,الدار البيضاء
2,Mohammadia,72,0,المحمدية
3,El Jadida,66,0,الجديدة
4,Settat,44,0,سطات
5,Berrechid,36,0,برشيد
6,Nouaceur,35,0,النواصر
7,Médiouna,32,0,مديونة
8,Benslimane,10,0,بن سليمان
9,Sidi Bennour,2,0,سيدي بنور
10,Région Rabat - Salé-Kenitra,704,6,جهة الرباط سلا القنيطرة
11,Salé,259,1,سلا
12,Skhirate- Témara,130,0,الصخيات-تمارة
13,Kénitra,90,0,القنيطرة
14,Rabat,78,2,الرباط
15,Khémisset,53,1,الخميسات
16,Sidi Kacem,51,1,سيدي قاسم
17,Sidi Slimane,43,1,سيدي سليمان
18,Région Souss - Massa,544,3,جهة سوس ماسة
19,Agadir-Ida -Ou-Tanane,221,0,أكادير إدا وتنان
20,Inezgane- Ait Melloul,141,2,إنزكان آيت ملول
21,Tiznit,80,0,تزنيت
22,Taroudannt,69,0,تارودانت
23,Chtouka- Ait Baha,33,0,اشتوكة آيت باها
24,Tata,0,1,طاطا
25,Région Tanger -Tétouan- Al Hoceima,375,1,جهة طنجة تطوان الحسيمة
26,Tanger-Assilah,116,0,طنجة-أصيلة
27,Tétouan,82,0,تطوان
28,Al Hoceima,46,1,الحسيمة
29,Larache,45,0,العرائش
30,M'Diq-Fnideq,29,0,المضيق الفنيدق
31,Chefchaouen,28,0,شفشاون
32,Ouezzane,25,0,وزان
33,Fahs Anjra,4,0,الفحص أنجرة
34,Région Marrakech- Safi,256,4,جهة مراكش آسف
35,Marrakech,139,1,مراكش
36,Essaouira,35,0,الصويرة
37,Safi,32,0,آسف
38,El Kelâa des  Sraghna,22,2,قلعة السراغنة
39,Chichaoua,16,1,شيشاوة
40,Al  Haouz,5,0,الحوز
41,Youssoufia,4,0,اليوسفية
42,Rehamna,3,0,الرحامنة
43,Région de l'Oriental,152,6,جهة الشق
44,Oujda-Angad,76,2,وجدة - أنجاد
45,Nador,25,0,الناظور
46,Taourirt,17,1,تاوريرت
47,Berkane,11,3,بركان
48,Driouch,9,0,الدريوش
49,Guercif,8,0,جرسيف
50,Jerada,5,0,جرادة
51,Figuig,1,0,فجيج
52,Région Guelmim –Oued Noun,140,4,جهة كلميم واد نون
53,Guelmim,66,3,كلميم
54,Tan Tan,43,1,طان طان
55,Assa-Zag,24,0,آسا الزاك
56,Sidi Ifni,7,0,سيدي إفن
57,Région Laâyoune - Sakia El Hamra,136,0,جهة العيون الساقية الحمراء
58,Laâyoune,123,0,العيون
59,Es-Semara,7,0,السمارة
60,Boujdour,6,0,بوجدور
61,Région Fès - Meknès,83,5,جهة فاس مكناس
62,Fès,29,3,فاس
63,Taza,24,0,تازة
64,Meknès,10,2,مكناس
65,Sefrou,6,0,صفرو
66,Ifrane,5,0,إفران
67,Taounate,4,0,تاونات
68,El  Hajeb,3,0,الحاجب
69,Moulay Yaacoub,2,0,مولاي يعقوب
70,Région Darâa-Tafilalet,78,1,جهة درعة تافيلالت
71,Errachidia,34,1,الرشيدية
72,Tinghir,21,0,تنغي
73,Midelt,12,0,ميدلت
74,Zagora,8,0,زاكورة
75,Ouarzazate,3,0,ورززات
76,Région Beni Mellal- Khénifra,23,2,جهة بن ملال خنيفرة
77,Fquih Ben Salah,9,1,الفقيه بن صالح
78,Béni Mellal,6,0,بن ملال
79,Khouribga,4,0,خريبكة
80,Khénifra,2,0,خنيفرة
81,Azilal,2,1,أزيلال
82,Région Dakhla-Oued Eddahab,23,1,جهة الداخلة وادي الذهب
83,Oued Ed-Dahab,23,1,وادي الذهب
