,Régions,Nouveaux Cas,Décès,Régions Ar
0,Région Grand Casablanca-Settat,1157,14,جهة الدار البيضاء سطات
1,Casablanca,795,14,الدار البيضاء
2,Berrechid,104,0,برشيد
3,Mohammadia,64,0,المحمدية
4,El Jadida,56,0,الجديدة
5,Settat,44,0,سطات
6,Médiouna,38,0,مديونة
7,Nouaceur,32,0,النواصر
8,Benslimane,24,0,بن سليمان
9,Région Rabat - Salé-Kenitra,757,3,جهة الرباط سلا القنيطرة
10,Kénitra,314,2,القنيطرة
11,Skhirate- Témara,156,1,الصخيات-تمارة
12,Rabat,124,0,الرباط
13,Salé,115,0,سلا
14,Khémisset,37,0,الخميسات
15,Sidi Slimane,7,0,سيدي سليمان
16,Sidi Kacem,4,0,سيدي قاسم
17,Région Souss - Massa,581,11,جهة سوس ماسة
18,Agadir-Ida -Ou-Tanane,252,1,أكادير إدا وتنان
19,Chtouka- Ait Baha,162,2,اشتوكة آيت باها
20,Tata,60,1,طاطا
21,Taroudannt,53,2,تارودانت
22,Inezgane- Ait Melloul,39,4,إنزكان آيت ملول
23,Tiznit,15,1,تزنيت
24,Région Tanger -Tétouan- Al Hoceima,491,7,جهة طنجة تطوان الحسيمة
25,Tétouan,140,0,تطوان
26,Tanger-Assilah,129,2,طنجة-أصيلة
27,Larache,63,2,العرائش
28,Al Hoceima,55,1,الحسيمة
29,M'Diq-Fnideq,52,0,المضيق الفنيدق
30,Ouezzane,35,2,وزان
31,Chefchaouen,16,0,شفشاون
32,Fahs Anjra,1,0,الفحص أنجرة
33,Région de l'Oriental,282,9,جهة الشق
34,Berkane,123,0,بركان
35,Oujda-Angad,100,2,وجدة - أنجاد
36,Taourirt,20,3,تاوريرت
37,Figuig,16,0,فجيج
38,Nador,10,0,الناظور
39,Guercif,0,3,جرسيف
40,Jerada,10,1,جرادة
41,Driouch,3,0,الدريوش
42,Région Marrakech- Safi,212,6,جهة مراكش آسف
43,Marrakech,157,5,مراكش
44,El Kelâa des  Sraghna,19,1,قلعة السراغنة
45,Essaouira,13,0,الصويرة
46,Chichaoua,8,0,شيشاوة
47,Youssoufia,6,0,اليوسفية
48,Rehamna,4,0,الرحامنة
49,Safi,3,0,آسف
50,Al  Haouz,2,0,الحوز
51,Région Guelmim –Oued Noun,146,1,جهة كلميم واد نون
52,Guelmim,117,1,كلميم
53,Tan Tan,24,0,طان طان
54,Sidi Ifni,5,0,سيدي إفن
55,Région Laâyoune - Sakia El Hamra,96,0,جهة العيون الساقية الحمراء
56,Laâyoune,93,0,العيون
57,Boujdour,3,0,بوجدور
58,Région Darâa-Tafilalet,88,4,جهة درعة تافيلالت
59,Errachidia,34,2,الرشيدية
60,Midelt,19,0,ميدلت
61,Ouarzazate,16,1,ورززات
62,Tinghir,12,1,تنغي
63,Zagora,7,0,زاكورة
64,Région Fès - Meknès,79,2,جهة فاس مكناس
65,Fès,43,2,فاس
66,Meknès,11,0,مكناس
67,Sefrou,8,0,صفرو
68,Ifrane,8,0,إفران
69,Boulemane,4,0,بولمان
70,El  Hajeb,2,0,الحاجب
71,Moulay Yaacoub,2,0,مولاي يعقوب
72,Taounate,1,0,تاونات
73,Région Beni Mellal- Khénifra,56,3,جهة بن ملال خنيفرة
74,Khouribga,34,0,خريبكة
75,Fquih Ben Salah,11,1,الفقيه بن صالح
76,Béni Mellal,10,2,بن ملال
77,Khénifra,1,0,خنيفرة
78,Région Dakhla-Oued Eddahab,34,0,جهة الداخلة وادي الذهب
79,Oued Ed-Dahab,34,0,وادي الذهب
