,Régions,Nouveaux Cas,Décès,Régions Ar
0,Région Grand Casablanca-Settat,1749,25,جهة الدار البيضاء سطات
1,Casablanca,1351,25,الدار البيضاء
2,Berrechid,108,0,برشيد
3,El Jadida,72,0,الجديدة
4,Nouaceur,64,0,النواصر
5,Mohammadia,47,0,المحمدية
6,Médiouna,40,0,مديونة
7,Benslimane,34,0,بن سليمان
8,Settat,19,0,سطات
9,Sidi Bennour,14,0,سيدي بنور
10,Région Rabat - Salé-Kenitra,864,8,جهة الرباط سلا القنيطرة
11,Salé,319,1,سلا
12,Skhirate- Témara,220,2,الصخيات-تمارة
13,Kénitra,184,3,القنيطرة
14,Rabat,94,2,الرباط
15,Khémisset,26,0,الخميسات
16,Sidi Kacem,11,0,سيدي قاسم
17,Sidi Slimane,10,0,سيدي سليمان
18,Région Souss - Massa,453,6,جهة سوس ماسة
19,Agadir-Ida -Ou-Tanane,280,4,أكادير إدا وتنان
20,Inezgane- Ait Melloul,102,2,إنزكان آيت ملول
21,Tiznit,32,0,تزنيت
22,Chtouka- Ait Baha,30,0,اشتوكة آيت باها
23,Taroudannt,9,0,تارودانت
24,Région de l'Oriental,390,10,جهة الشق
25,Nador,115,0,الناظور
26,Berkane,106,0,بركان
27,Oujda-Angad,47,4,وجدة - أنجاد
28,Guercif,41,3,جرسيف
29,Taourirt,41,0,تاوريرت
30,Driouch,25,1,الدريوش
31,Jerada,8,1,جرادة
32,Figuig,7,1,فجيج
33,Région Tanger -Tétouan- Al Hoceima,360,7,جهة طنجة تطوان الحسيمة
34,Tanger-Assilah,145,2,طنجة-أصيلة
35,Tétouan,89,2,تطوان
36,M'Diq-Fnideq,63,1,المضيق الفنيدق
37,Larache,31,1,العرائش
38,Chefchaouen,15,0,شفشاون
39,Al Hoceima,12,1,الحسيمة
40,Ouezzane,5,0,وزان
41,Région Marrakech- Safi,244,10,جهة مراكش آسف
42,Marrakech,118,7,مراكش
43,Safi,30,0,آسف
44,El Kelâa des  Sraghna,28,0,قلعة السراغنة
45,Essaouira,25,0,الصويرة
46,Chichaoua,20,0,شيشاوة
47,Rehamna,9,1,الرحامنة
48,Youssoufia,8,2,اليوسفية
49,Al  Haouz,6,0,الحوز
50,Région Guelmim –Oued Noun,141,1,جهة كلميم واد نون
51,Guelmim,104,1,كلميم
52,Tan Tan,15,0,طان طان
53,Sidi Ifni,14,0,سيدي إفن
54,Assa-Zag,8,0,آسا الزاك
55,Région Darâa-Tafilalet,138,7,جهة درعة تافيلالت
56,Midelt,47,0,ميدلت
57,Errachidia,39,3,الرشيدية
58,Zagora,27,1,زاكورة
59,Ouarzazate,16,0,ورززات
60,Tinghir,9,3,تنغي
61,Région Fès - Meknès,121,2,جهة فاس مكناس
62,Fès,35,0,فاس
63,Taza,26,1,تازة
64,Taounate,18,0,تاونات
65,Meknès,15,0,مكناس
66,Boulemane,12,1,بولمان
67,Sefrou,9,0,صفرو
68,El  Hajeb,5,0,الحاجب
69,Ifrane,1,0,إفران
70,Région Beni Mellal- Khénifra,76,0,جهة بن ملال خنيفرة
71,Khouribga,22,0,خريبكة
72,Béni Mellal,21,0,بن ملال
73,Fquih Ben Salah,18,0,الفقيه بن صالح
74,Khénifra,12,0,خنيفرة
75,Azilal,3,0,أزيلال
76,Région Dakhla-Oued Eddahab,23,0,جهة الداخلة وادي الذهب
77,Oued Ed-Dahab,23,0,وادي الذهب
78,Région Laâyoune - Sakia El Hamra,0,1,جهة العيون الساقية الحمراء
79,Laâyoune,0,1,العيون
