,Régions,Nouveaux Cas,Décès,Régions Ar
0,Région Grand Casablanca-Settat,1718,23,جهة الدار البيضاء سطات
1,Casablanca,1373,23,الدار البيضاء
2,Berrechid,75,0,برشيد
3,Nouaceur,67,0,النواصر
4,Mohammadia,59,0,المحمدية
5,El Jadida,39,0,الجديدة
6,Settat,37,0,سطات
7,Benslimane,27,0,بن سليمان
8,Médiouna,21,0,مديونة
9,Sidi Bennour,20,0,سيدي بنور
10,Région Rabat - Salé-Kenitra,1023,6,جهة الرباط سلا القنيطرة
11,Salé,340,3,سلا
12,Kénitra,302,1,القنيطرة
13,Skhirate- Témara,218,1,الصخيات-تمارة
14,Rabat,112,1,الرباط
15,Khémisset,42,0,الخميسات
16,Sidi Kacem,7,0,سيدي قاسم
17,Sidi Slimane,2,0,سيدي سليمان
18,Région Tanger -Tétouan- Al Hoceima,466,8,جهة طنجة تطوان الحسيمة
19,Tanger-Assilah,274,1,طنجة-أصيلة
20,Ouezzane,50,1,وزان
21,Tétouan,44,2,تطوان
22,Larache,33,2,العرائش
23,Chefchaouen,28,0,شفشاون
24,Al Hoceima,23,2,الحسيمة
25,M'Diq-Fnideq,12,0,المضيق الفنيدق
26,Fahs Anjra,2,0,الفحص أنجرة
27,Région Souss - Massa,431,7,جهة سوس ماسة
28,Agadir-Ida -Ou-Tanane,257,2,أكادير إدا وتنان
29,Inezgane- Ait Melloul,64,0,إنزكان آيت ملول
30,Taroudannt,49,3,تارودانت
31,Chtouka- Ait Baha,31,0,اشتوكة آيت باها
32,Tiznit,30,2,تزنيت
33,Région de l'Oriental,247,6,جهة الشق
34,Oujda-Angad,82,1,وجدة - أنجاد
35,Berkane,74,0,بركان
36,Nador,28,1,الناظور
37,Driouch,24,0,الدريوش
38,Guercif,0,4,جرسيف
39,Jerada,20,0,جرادة
40,Taourirt,19,0,تاوريرت
41,Région Marrakech- Safi,203,8,جهة مراكش آسف
42,Marrakech,134,5,مراكش
43,El Kelâa des  Sraghna,20,0,قلعة السراغنة
44,Safi,17,2,آسف
45,Al  Haouz,12,0,الحوز
46,Essaouira,9,0,الصويرة
47,Chichaoua,9,1,شيشاوة
48,Youssoufia,2,0,اليوسفية
49,Région Beni Mellal- Khénifra,145,7,جهة بن ملال خنيفرة
50,Khouribga,54,2,خريبكة
51,Béni Mellal,43,2,بن ملال
52,Fquih Ben Salah,31,2,الفقيه بن صالح
53,Khénifra,11,0,خنيفرة
54,Azilal,6,1,أزيلال
55,Région Guelmim –Oued Noun,145,0,جهة كلميم واد نون
56,Guelmim,85,0,كلميم
57,Assa-Zag,42,0,آسا الزاك
58,Tan Tan,18,0,طان طان
59,Région Darâa-Tafilalet,122,1,جهة درعة تافيلالت
60,Errachidia,47,0,الرشيدية
61,Midelt,35,0,ميدلت
62,Ouarzazate,22,1,ورززات
63,Tinghir,11,0,تنغي
64,Zagora,7,0,زاكورة
65,Région Fès - Meknès,93,7,جهة فاس مكناس
66,Fès,29,4,فاس
67,Meknès,17,1,مكناس
68,Sefrou,15,1,صفرو
69,Ifrane,14,0,إفران
70,Taza,10,0,تازة
71,Boulemane,6,0,بولمان
72,Taounate,0,1,تاونات
73,El  Hajeb,2,0,الحاجب
74,Région Laâyoune - Sakia El Hamra,73,1,جهة العيون الساقية الحمراء
75,Laâyoune,70,1,العيون
76,Tarfaya,2,0,طرفاية
77,Boujdour,1,0,بوجدور
78,Région Dakhla-Oued Eddahab,36,0,جهة الداخلة وادي الذهب
79,Oued Ed-Dahab,36,0,وادي الذهب
