,Régions,Nouveaux Cas,Décès,Régions Ar
0,Région Grand Casablanca-Settat,1579,29,جهة الدار البيضاء سطات
1,Casablanca,1322,27,الدار البيضاء
2,Nouaceur,71,0,النواصر
3,Berrechid,52,0,برشيد
4,Settat,43,0,سطات
5,El Jadida,38,1,الجديدة
6,Médiouna,33,0,مديونة
7,Mohammadia,16,0,المحمدية
8,Benslimane,2,1,بن سليمان
9,Sidi Bennour,2,0,سيدي بنور
10,Région Rabat - Salé-Kenitra,883,8,جهة الرباط سلا القنيطرة
11,Salé,318,2,سلا
12,Skhirate- Témara,284,1,الصخيات-تمارة
13,Kénitra,141,3,القنيطرة
14,Rabat,90,1,الرباط
15,Khémisset,31,1,الخميسات
16,Sidi Slimane,15,0,سيدي سليمان
17,Sidi Kacem,4,0,سيدي قاسم
18,Région Tanger -Tétouan- Al Hoceima,369,6,جهة طنجة تطوان الحسيمة
19,Tanger-Assilah,183,1,طنجة-أصيلة
20,Tétouan,68,4,تطوان
21,Ouezzane,46,0,وزان
22,Larache,44,0,العرائش
23,Al Hoceima,0,1,الحسيمة
24,M'Diq-Fnideq,17,0,المضيق الفنيدق
25,Chefchaouen,11,0,شفشاون
26,Région Marrakech- Safi,229,6,جهة مراكش آسف
27,Marrakech,146,5,مراكش
28,Essaouira,29,0,الصويرة
29,El Kelâa des  Sraghna,23,0,قلعة السراغنة
30,Youssoufia,10,0,اليوسفية
31,Rehamna,11,0,الرحامنة
32,Safi,9,1,آسف
33,Chichaoua,1,0,شيشاوة
34,Région Guelmim –Oued Noun,201,1,جهة كلميم واد نون
35,Guelmim,127,1,كلميم
36,Assa-Zag,44,0,آسا الزاك
37,Sidi Ifni,24,0,سيدي إفن
38,Tan Tan,6,0,طان طان
39,Région de l'Oriental,199,7,جهة الشق
40,Oujda-Angad,41,1,وجدة - أنجاد
41,Taourirt,41,3,تاوريرت
42,Nador,38,0,الناظور
43,Guercif,36,0,جرسيف
44,Berkane,11,1,بركان
45,Figuig,19,0,فجيج
46,Driouch,12,0,الدريوش
47,Jerada,1,2,جرادة
48,Région Souss - Massa,197,3,جهة سوس ماسة
49,Agadir-Ida -Ou-Tanane,76,0,أكادير إدا وتنان
50,Inezgane- Ait Melloul,44,2,إنزكان آيت ملول
51,Tata,39,0,طاطا
52,Tiznit,29,0,تزنيت
53,Chtouka- Ait Baha,5,0,اشتوكة آيت باها
54,Taroudannt,4,1,تارودانت
55,Région Darâa-Tafilalet,88,1,جهة درعة تافيلالت
56,Errachidia,36,0,الرشيدية
57,Midelt,15,0,ميدلت
58,Tinghir,15,1,تنغي
59,Ouarzazate,14,0,ورززات
60,Zagora,8,0,زاكورة
61,Région Laâyoune - Sakia El Hamra,84,1,جهة العيون الساقية الحمراء
62,Laâyoune,71,1,العيون
63,Es-Semara,7,0,السمارة
64,Tarfaya,6,0,طرفاية
65,Région Beni Mellal- Khénifra,82,5,جهة بن ملال خنيفرة
66,Fquih Ben Salah,29,2,الفقيه بن صالح
67,Béni Mellal,27,0,بن ملال
68,Khouribga,20,2,خريبكة
69,Azilal,5,0,أزيلال
70,Khénifra,1,1,خنيفرة
71,Région Fès - Meknès,53,5,جهة فاس مكناس
72,Fès,34,3,فاس
73,Meknès,14,0,مكناس
74,Taza,2,1,تازة
75,Moulay Yaacoub,2,0,مولاي يعقوب
76,Boulemane,0,1,بولمان
77,Taounate,1,0,تاونات
78,Région Dakhla-Oued Eddahab,35,1,جهة الداخلة وادي الذهب
79,Aousserd,35,1,أوسرد
