,Régions,Nouveaux Cas,Décès,Régions Ar
0,Région Grand Casablanca-Settat,1706,19,جهة الدار البيضاء سطات
1,Casablanca,1227,18,الدار البيضاء
2,Nouaceur,115,1,النواصر
3,El Jadida,82,0,الجديدة
4,Mohammadia,79,0,المحمدية
5,Berrechid,72,0,برشيد
6,Settat,53,0,سطات
7,Médiouna,37,0,مديونة
8,Benslimane,30,0,بن سليمان
9,Sidi Bennour,11,0,سيدي بنور
10,Région Rabat - Salé-Kenitra,948,13,جهة الرباط سلا القنيطرة
11,Kénitra,343,1,القنيطرة
12,Skhirate- Témara,251,2,الصخيات-تمارة
13,Salé,205,3,سلا
14,Rabat,111,4,الرباط
15,Khémisset,24,0,الخميسات
16,Sidi Slimane,12,2,سيدي سليمان
17,Sidi Kacem,2,1,سيدي قاسم
18,Région Souss - Massa,656,12,جهة سوس ماسة
19,Agadir-Ida -Ou-Tanane,283,2,أكادير إدا وتنان
20,Inezgane- Ait Melloul,116,4,إنزكان آيت ملول
21,Taroudannt,111,3,تارودانت
22,Tata,64,0,طاطا
23,Tiznit,63,2,تزنيت
24,Chtouka- Ait Baha,19,1,اشتوكة آيت باها
25,Région Tanger -Tétouan- Al Hoceima,486,9,جهة طنجة تطوان الحسيمة
26,Tanger-Assilah,214,2,طنجة-أصيلة
27,Tétouan,104,3,تطوان
28,Ouezzane,61,2,وزان
29,Larache,50,1,العرائش
30,Al Hoceima,43,1,الحسيمة
31,M'Diq-Fnideq,8,0,المضيق الفنيدق
32,Chefchaouen,6,0,شفشاون
33,Région de l'Oriental,462,5,جهة الشق
34,Oujda-Angad,141,2,وجدة - أنجاد
35,Nador,120,0,الناظور
36,Berkane,69,2,بركان
37,Guercif,37,0,جرسيف
38,Jerada,36,0,جرادة
39,Figuig,31,0,فجيج
40,Taourirt,15,0,تاوريرت
41,Driouch,13,1,الدريوش
42,Région Marrakech- Safi,356,8,جهة مراكش آسف
43,Marrakech,220,3,مراكش
44,Essaouira,56,0,الصويرة
45,El Kelâa des  Sraghna,39,0,قلعة السراغنة
46,Chichaoua,14,2,شيشاوة
47,Al  Haouz,11,0,الحوز
48,Youssoufia,10,3,اليوسفية
49,Rehamna,5,0,الرحامنة
50,Safi,1,0,آسف
51,Région Guelmim –Oued Noun,200,1,جهة كلميم واد نون
52,Guelmim,128,1,كلميم
53,Assa-Zag,54,0,آسا الزاك
54,Tan Tan,13,0,طان طان
55,Sidi Ifni,5,0,سيدي إفن
56,Région Darâa-Tafilalet,155,0,جهة درعة تافيلالت
57,Midelt,73,0,ميدلت
58,Errachidia,43,0,الرشيدية
59,Ouarzazate,22,0,ورززات
60,Tinghir,16,0,تنغي
61,Zagora,1,0,زاكورة
62,Région Beni Mellal- Khénifra,133,5,جهة بن ملال خنيفرة
63,Khénifra,10,1,خنيفرة
64,Khouribga,41,1,خريبكة
65,Béni Mellal,37,2,بن ملال
66,Fquih Ben Salah,24,1,الفقيه بن صالح
67,Azilal,21,0,أزيلال
68,Région Laâyoune - Sakia El Hamra,131,1,جهة العيون الساقية الحمراء
69,Laâyoune,116,0,العيون
70,Es-Semara,12,1,السمارة
71,Boujdour,3,0,بوجدور
72,Région Fès - Meknès,129,8,جهة فاس مكناس
73,Taza,32,1,تازة
74,Sefrou,24,1,صفرو
75,Fès,23,2,فاس
76,Meknès,14,0,مكناس
77,Boulemane,13,0,بولمان
78,Ifrane,9,1,إفران
79,Taounate,8,2,تاونات
80,El  Hajeb,6,1,الحاجب
81,Région Dakhla-Oued Eddahab,29,0,جهة الداخلة وادي الذهب
82,Oued Ed-Dahab,29,0,وادي الذهب
