,Régions,Nouveaux Cas,Décès,Régions Ar
0,Région Grand Casablanca-Settat,2179,21,جهة الدار البيضاء سطات
1,Casablanca,1708,18,الدار البيضاء
2,Mohammadia,108,0,المحمدية
3,Nouaceur,101,0,النواصر
4,El Jadida,78,0,الجديدة
5,Settat,53,0,سطات
6,Benslimane,49,1,بن سليمان
7,Berrechid,43,2,برشيد
8,Médiouna,23,0,مديونة
9,Sidi Bennour,16,0,سيدي بنور
10,Région Rabat - Salé-Kenitra,946,8,جهة الرباط سلا القنيطرة
11,Salé,298,0,سلا
12,Skhirate- Témara,290,0,الصخيات-تمارة
13,Kénitra,170,3,القنيطرة
14,Rabat,86,1,الرباط
15,Khémisset,81,2,الخميسات
16,Sidi Slimane,19,2,سيدي سليمان
17,Sidi Kacem,2,0,سيدي قاسم
18,Région de l'Oriental,589,7,جهة الشق
19,Oujda-Angad,259,2,وجدة - أنجاد
20,Berkane,142,1,بركان
21,Figuig,56,1,فجيج
22,Guercif,46,3,جرسيف
23,Nador,29,0,الناظور
24,Taourirt,23,0,تاوريرت
25,Driouch,23,0,الدريوش
26,Jerada,11,0,جرادة
27,Région Souss - Massa,471,5,جهة سوس ماسة
28,Agadir-Ida -Ou-Tanane,269,3,أكادير إدا وتنان
29,Taroudannt,87,0,تارودانت
30,Inezgane- Ait Melloul,51,2,إنزكان آيت ملول
31,Chtouka- Ait Baha,40,0,اشتوكة آيت باها
32,Tiznit,24,0,تزنيت
33,Région Tanger -Tétouan- Al Hoceima,401,8,جهة طنجة تطوان الحسيمة
34,Tanger-Assilah,165,2,طنجة-أصيلة
35,Tétouan,61,3,تطوان
36,Al Hoceima,48,2,الحسيمة
37,M'Diq-Fnideq,43,0,المضيق الفنيدق
38,Ouezzane,40,0,وزان
39,Larache,38,0,العرائش
40,Chefchaouen,3,1,شفشاون
41,Fahs Anjra,3,0,الفحص أنجرة
42,Région Marrakech- Safi,235,4,جهة مراكش آسف
43,Marrakech,146,3,مراكش
44,Essaouira,22,0,الصويرة
45,Youssoufia,20,0,اليوسفية
46,Chichaoua,20,0,شيشاوة
47,El Kelâa des  Sraghna,10,0,قلعة السراغنة
48,Rehamna,8,0,الرحامنة
49,Al  Haouz,8,1,الحوز
50,Safi,1,0,آسف
51,Région Beni Mellal- Khénifra,170,3,جهة بن ملال خنيفرة
52,Khouribga,95,0,خريبكة
53,Fquih Ben Salah,28,1,الفقيه بن صالح
54,Béni Mellal,28,0,بن ملال
55,Khénifra,16,0,خنيفرة
56,Azilal,3,2,أزيلال
57,Région Guelmim –Oued Noun,167,0,جهة كلميم واد نون
58,Guelmim,107,0,كلميم
59,Assa-Zag,43,0,آسا الزاك
60,Sidi Ifni,11,0,سيدي إفن
61,Tan Tan,6,0,طان طان
62,Région Fès - Meknès,122,4,جهة فاس مكناس
63,Taza,48,1,تازة
64,Fès,28,2,فاس
65,Sefrou,17,1,صفرو
66,Meknès,16,0,مكناس
67,El  Hajeb,7,0,الحاجب
68,Boulemane,4,0,بولمان
69,Ifrane,2,0,إفران
70,Région Darâa-Tafilalet,120,1,جهة درعة تافيلالت
71,Errachidia,45,0,الرشيدية
72,Midelt,26,0,ميدلت
73,Ouarzazate,26,1,ورززات
74,Zagora,12,0,زاكورة
75,Tinghir,11,0,تنغي
76,Région Laâyoune - Sakia El Hamra,96,0,جهة العيون الساقية الحمراء
77,Laâyoune,74,0,العيون
78,Boujdour,9,0,بوجدور
79,Es-Semara,9,0,السمارة
80,Tarfaya,4,0,طرفاية
81,Région Dakhla-Oued Eddahab,19,0,جهة الداخلة وادي الذهب
82,Oued Ed-Dahab,19,0,وادي الذهب
