,Régions,Nouveaux Cas,Décès,Régions Ar
0,Région Grand Casablanca-Settat,1473,16,جهة الدار البيضاء سطات
1,Casablanca,1190,12,الدار البيضاء
2,Nouaceur,62,0,النواصر
3,Berrechid,60,0,برشيد
4,Settat,51,3,سطات
5,Mohammadia,40,0,المحمدية
6,El Jadida,28,1,الجديدة
7,Benslimane,23,0,بن سليمان
8,Médiouna,18,0,مديونة
9,Sidi Bennour,1,0,سيدي بنور
10,Région Rabat - Salé-Kenitra,778,10,جهة الرباط سلا القنيطرة
11,Skhirate- Témara,265,1,الصخيات-تمارة
12,Salé,198,6,سلا
13,Rabat,90,0,الرباط
14,Kénitra,83,2,القنيطرة
15,Sidi Slimane,64,1,سيدي سليمان
16,Sidi Kacem,46,0,سيدي قاسم
17,Khémisset,32,0,الخميسات
18,Région Souss - Massa,424,7,جهة سوس ماسة
19,Agadir-Ida -Ou-Tanane,210,1,أكادير إدا وتنان
20,Inezgane- Ait Melloul,93,5,إنزكان آيت ملول
21,Taroudannt,42,0,تارودانت
22,Tiznit,40,0,تزنيت
23,Chtouka- Ait Baha,35,1,اشتوكة آيت باها
24,Tata,4,0,طاطا
25,Région Tanger -Tétouan- Al Hoceima,388,10,جهة طنجة تطوان الحسيمة
26,Tanger-Assilah,153,1,طنجة-أصيلة
27,Tétouan,111,2,تطوان
28,Al Hoceima,37,1,الحسيمة
29,Chefchaouen,28,0,شفشاون
30,Larache,21,3,العرائش
31,M'Diq-Fnideq,18,2,المضيق الفنيدق
32,Ouezzane,16,1,وزان
33,Fahs Anjra,4,0,الفحص أنجرة
34,Région Marrakech- Safi,348,9,جهة مراكش آسف
35,Marrakech,197,5,مراكش
36,Essaouira,68,0,الصويرة
37,El Kelâa des  Sraghna,26,1,قلعة السراغنة
38,Chichaoua,25,1,شيشاوة
39,Youssoufia,22,0,اليوسفية
40,Al  Haouz,7,0,الحوز
41,Safi,2,2,آسف
42,Rehamna,1,0,الرحامنة
43,Région de l'Oriental,308,12,جهة الشق
44,Oujda-Angad,116,7,وجدة - أنجاد
45,Berkane,59,1,بركان
46,Nador,54,0,الناظور
47,Taourirt,28,1,تاوريرت
48,Jerada,25,1,جرادة
49,Guercif,19,1,جرسيف
50,Figuig,5,0,فجيج
51,Driouch,2,1,الدريوش
52,Région Laâyoune - Sakia El Hamra,120,0,جهة العيون الساقية الحمراء
53,Laâyoune,111,0,العيون
54,Es-Semara,7,0,السمارة
55,Boujdour,1,0,بوجدور
56,Tarfaya,1,0,طرفاية
57,Région Guelmim –Oued Noun,103,1,جهة كلميم واد نون
58,Guelmim,70,0,كلميم
59,Tan Tan,21,1,طان طان
60,Sidi Ifni,12,0,سيدي إفن
61,Région Fès - Meknès,89,7,جهة فاس مكناس
62,Fès,26,3,فاس
63,Taounate,18,0,تاونات
64,Taza,15,0,تازة
65,Meknès,13,3,مكناس
66,Sefrou,10,0,صفرو
67,Moulay Yaacoub,3,0,مولاي يعقوب
68,Boulemane,2,0,بولمان
69,Ifrane,1,0,إفران
70,El  Hajeb,1,1,الحاجب
71,Région Darâa-Tafilalet,65,3,جهة درعة تافيلالت
72,Midelt,24,1,ميدلت
73,Errachidia,17,1,الرشيدية
74,Tinghir,15,0,تنغي
75,Ouarzazate,5,0,ورززات
76,Zagora,4,1,زاكورة
77,Région Beni Mellal- Khénifra,56,5,جهة بن ملال خنيفرة
78,Béni Mellal,24,1,بن ملال
79,Fquih Ben Salah,14,0,الفقيه بن صالح
80,Khouribga,10,1,خريبكة
81,Khénifra,4,1,خنيفرة
82,Azilal,4,2,أزيلال
83,Région Dakhla-Oued Eddahab,26,0,جهة الداخلة وادي الذهب
84,Oued Ed-Dahab,26,0,وادي الذهب
