,Régions,Nouveaux Cas,Décès,Régions Ar
0,Région Grand Casablanca-Settat,1177,37,جهة الدار البيضاء سطات
1,Casablanca,1005,29,الدار البيضاء
2,Settat,45,0,سطات
3,El Jadida,36,7,الجديدة
4,Mohammadia,32,0,المحمدية
5,Nouaceur,30,0,النواصر
6,Médiouna,20,0,مديونة
7,Berrechid,7,0,برشيد
8,Benslimane,2,0,بن سليمان
9,Sidi Bennour,0,1,سيدي بنور
10,Région Rabat - Salé-Kenitra,953,9,جهة الرباط سلا القنيطرة
11,Salé,393,4,سلا
12,Kénitra,186,3,القنيطرة
13,Skhirate- Témara,186,0,الصخيات-تمارة
14,Rabat,130,0,الرباط
15,Sidi Slimane,47,1,سيدي سليمان
16,Khémisset,9,1,الخميسات
17,Sidi Kacem,2,0,سيدي قاسم
18,Région de l'Oriental,279,12,جهة الشق
19,Oujda-Angad,183,2,وجدة - أنجاد
20,Nador,67,2,الناظور
21,Guercif,11,3,جرسيف
22,Taourirt,8,5,تاوريرت
23,Jerada,5,0,جرادة
24,Driouch,2,0,الدريوش
25,Figuig,2,0,فجيج
26,Berkane,1,0,بركان
27,Région Souss - Massa,228,8,جهة سوس ماسة
28,Agadir-Ida -Ou-Tanane,85,3,أكادير إدا وتنان
29,Inezgane- Ait Melloul,46,0,إنزكان آيت ملول
30,Taroudannt,39,2,تارودانت
31,Chtouka- Ait Baha,31,2,اشتوكة آيت باها
32,Tiznit,27,1,تزنيت
33,Région Tanger -Tétouan- Al Hoceima,165,3,جهة طنجة تطوان الحسيمة
34,Tanger-Assilah,54,1,طنجة-أصيلة
35,Ouezzane,30,0,وزان
36,Tétouan,27,2,تطوان
37,M'Diq-Fnideq,23,0,المضيق الفنيدق
38,Chefchaouen,17,0,شفشاون
39,Al Hoceima,14,0,الحسيمة
40,Région Marrakech- Safi,148,5,جهة مراكش آسف
41,Marrakech,62,1,مراكش
42,Essaouira,31,3,الصويرة
43,Youssoufia,22,1,اليوسفية
44,El Kelâa des  Sraghna,21,0,قلعة السراغنة
45,Chichaoua,6,0,شيشاوة
46,Rehamna,6,0,الرحامنة
47,Région Beni Mellal- Khénifra,83,5,جهة بن ملال خنيفرة
48,Khénifra,26,0,خنيفرة
49,Khouribga,25,2,خريبكة
50,Azilal,12,1,أزيلال
51,Fquih Ben Salah,12,0,الفقيه بن صالح
52,Béni Mellal,8,2,بن ملال
53,Région Dakhla-Oued Eddahab,48,0,جهة الداخلة وادي الذهب
54,Oued Ed-Dahab,48,0,وادي الذهب
55,Région Fès - Meknès,46,4,جهة فاس مكناس
56,Fès,15,2,فاس
57,Sefrou,15,1,صفرو
58,Meknès,10,0,مكناس
59,Taza,4,1,تازة
60,Ifrane,2,0,إفران
61,Région Darâa-Tafilalet,25,1,جهة درعة تافيلالت
62,Midelt,18,0,ميدلت
63,Zagora,3,1,زاكورة
64,Ouarzazate,3,0,ورززات
65,Tinghir,1,0,تنغي
66,Région Laâyoune - Sakia El Hamra,16,0,جهة العيون الساقية الحمراء
67,Laâyoune,16,0,العيون
68,Région Guelmim –Oued Noun,2,0,جهة كلميم واد نون
69,Guelmim,1,0,كلميم
70,Sidi Ifni,1,0,سيدي إفن
