,Régions,Nouveaux Cas,Décès,Régions Ar
0,Région Grand Casablanca-Settat,1783,17,جهة الدار البيضاء سطات
1,Casablanca,1401,14,الدار البيضاء
2,Nouaceur,61,0,النواصر
3,El Jadida,47,2,الجديدة
4,Mohammadia,59,0,المحمدية
5,Berrechid,68,0,برشيد
6,Settat,55,1,سطات
7,Médiouna,50,0,مديونة
8,Benslimane,17,0,بن سليمان
9,Sidi Bennour,25,0,سيدي بنور
10,Région Rabat - Salé-Kenitra,793,9,جهة الرباط سلا القنيطرة
11,Kénitra,228,0,القنيطرة
12,Salé,197,2,سلا
13,Skhirate- Témara,162,2,الصخيات-تمارة
14,Rabat,91,0,الرباط
15,Khémisset,66,2,الخميسات
16,Sidi Kacem,35,3,سيدي قاسم
17,Sidi Slimane,14,0,سيدي سليمان
18,Région Souss - Massa,422,4,جهة سوس ماسة
19,Agadir-Ida -Ou-Tanane,230,2,أكادير إدا وتنان
20,Inezgane- Ait Melloul,80,2,إنزكان آيت ملول
21,Chtouka- Ait Baha,42,0,اشتوكة آيت باها
22,Taroudannt,34,0,تارودانت
23,Tiznit,30,0,تزنيت
24,Tata,6,0,طاطا
25,Région Tanger -Tétouan- Al Hoceima,388,3,جهة طنجة تطوان الحسيمة
26,Tanger-Assilah,166,0,طنجة-أصيلة
27,Tétouan,74,1,تطوان
28,M'Diq-Fnideq,44,0,المضيق الفنيدق
29,Larache,32,1,العرائش
30,Al Hoceima,28,0,الحسيمة
31,Ouezzane,28,0,وزان
32,Chefchaouen,16,1,شفشاون
33,Région Marrakech- Safi,331,6,جهة مراكش آسف
34,Marrakech,219,4,مراكش
35,El Kelâa des  Sraghna,37,1,قلعة السراغنة
36,Essaouira,35,1,الصويرة
37,Youssoufia,21,0,اليوسفية
38,Chichaoua,7,0,شيشاوة
39,Safi,6,0,آسف
40,Al  Haouz,5,0,الحوز
41,Rehamna,1,0,الرحامنة
42,Région de l'Oriental,215,3,جهة الشق
43,Oujda-Angad,81,1,وجدة - أنجاد
44,Berkane,47,0,بركان
45,Jerada,26,0,جرادة
46,Nador,19,0,الناظور
47,Guercif,19,2,جرسيف
48,Taourirt,12,0,تاوريرت
49,Driouch,7,0,الدريوش
50,Figuig,4,0,فجيج
51,Région Guelmim –Oued Noun,137,0,جهة كلميم واد نون
52,Guelmim,65,0,كلميم
53,Assa-Zag,50,0,آسا الزاك
54,Sidi Ifni,21,0,سيدي إفن
55,Tan Tan,1,0,طان طان
56,Région Fès - Meknès,107,5,جهة فاس مكناس
57,Taza,32,0,تازة
58,Fès,32,3,فاس
59,Sefrou,17,1,صفرو
60,Meknès,12,1,مكناس
61,Moulay Yaacoub,5,0,مولاي يعقوب
62,Ifrane,5,0,إفران
63,El  Hajeb,4,0,الحاجب
64,Région Darâa-Tafilalet,79,1,جهة درعة تافيلالت
65,Errachidia,23,0,الرشيدية
66,Midelt,18,0,ميدلت
67,Ouarzazate,14,0,ورززات
68,Zagora,14,0,زاكورة
69,Tinghir,10,1,تنغي
70,Région Laâyoune - Sakia El Hamra,65,1,جهة العيون الساقية الحمراء
71,Laâyoune,54,1,العيون
72,Es-Semara,7,0,السمارة
73,Boujdour,3,0,بوجدور
74,Tarfaya,1,0,طرفاية
75,Région Beni Mellal- Khénifra,56,1,جهة بن ملال خنيفرة
76,Fquih Ben Salah,28,0,الفقيه بن صالح
77,Khouribga,14,0,خريبكة
78,Béni Mellal,11,1,بن ملال
79,Khénifra,3,0,خنيفرة
80,Région Dakhla-Oued Eddahab,36,0,جهة الداخلة وادي الذهب
81,Oued Ed-Dahab,36,0,وادي الذهب
