,Régions,Nouveaux Cas,Décès,Régions Ar
0,Région Grand Casablanca-Settat,2246,15,جهة الدار البيضاء سطات
1,Casablanca,1872,13,الدار البيضاء
2,Nouaceur,104,0,النواصر
3,Mohammadia,76,0,المحمدية
4,Berrechid,71,0,برشيد
5,El Jadida,53,1,الجديدة
6,Médiouna,47,0,مديونة
7,Settat,12,1,سطات
8,Benslimane,8,0,بن سليمان
9,Sidi Bennour,3,0,سيدي بنور
10,Région Rabat - Salé-Kenitra,1027,12,جهة الرباط سلا القنيطرة
11,Salé,395,8,سلا
12,Kénitra,254,3,القنيطرة
13,Skhirate- Témara,226,1,الصخيات-تمارة
14,Rabat,102,0,الرباط
15,Khémisset,46,0,الخميسات
16,Sidi Slimane,4,0,سيدي سليمان
17,Région Tanger -Tétouan- Al Hoceima,471,6,جهة طنجة تطوان الحسيمة
18,Tanger-Assilah,222,1,طنجة-أصيلة
19,Tétouan,101,1,تطوان
20,M'Diq-Fnideq,55,0,المضيق الفنيدق
21,Al Hoceima,37,0,الحسيمة
22,Larache,35,4,العرائش
23,Chefchaouen,19,0,شفشاون
24,Ouezzane,1,0,وزان
25,Fahs Anjra,1,0,الفحص أنجرة
26,Région de l'Oriental,431,12,جهة الشق
27,Oujda-Angad,224,4,وجدة - أنجاد
28,Berkane,103,2,بركان
29,Nador,89,2,الناظور
30,Taourirt,7,1,تاوريرت
31,Jerada,5,0,جرادة
32,Guercif,1,2,جرسيف
33,Driouch,1,0,الدريوش
34,Figuig,1,1,فجيج
35,Région Souss - Massa,356,6,جهة سوس ماسة
36,Agadir-Ida -Ou-Tanane,175,0,أكادير إدا وتنان
37,Inezgane- Ait Melloul,65,1,إنزكان آيت ملول
38,Taroudannt,37,1,تارودانت
39,Chtouka- Ait Baha,33,1,اشتوكة آيت باها
40,Tiznit,32,1,تزنيت
41,Tata,14,2,طاطا
42,Région Marrakech- Safi,342,7,جهة مراكش آسف
43,Marrakech,246,5,مراكش
44,Essaouira,40,1,الصويرة
45,El Kelâa des  Sraghna,25,1,قلعة السراغنة
46,Chichaoua,16,0,شيشاوة
47,Al  Haouz,8,0,الحوز
48,Youssoufia,3,0,اليوسفية
49,Rehamna,3,0,الرحامنة
50,Safi,1,0,آسف
51,Région Beni Mellal- Khénifra,182,11,جهة بن ملال خنيفرة
52,Khouribga,64,7,خريبكة
53,Fquih Ben Salah,54,1,الفقيه بن صالح
54,Béni Mellal,35,0,بن ملال
55,Azilal,19,1,أزيلال
56,Khénifra,10,2,خنيفرة
57,Région Darâa-Tafilalet,154,0,جهة درعة تافيلالت
58,Tinghir,59,0,تنغي
59,Errachidia,56,0,الرشيدية
60,Midelt,17,0,ميدلت
61,Ouarzazate,15,0,ورززات
62,Zagora,7,0,زاكورة
63,Région Fès - Meknès,103,7,جهة فاس مكناس
64,Taza,29,2,تازة
65,Fès,21,1,فاس
66,Meknès,15,2,مكناس
67,Boulemane,14,1,بولمان
68,Sefrou,11,1,صفرو
69,El  Hajeb,6,0,الحاجب
70,Ifrane,6,0,إفران
71,Moulay Yaacoub,1,0,مولاي يعقوب
72,Région Laâyoune - Sakia El Hamra,67,2,جهة العيون الساقية الحمراء
73,Laâyoune,54,1,العيون
74,Boujdour,8,0,بوجدور
75,Es-Semara,5,1,السمارة
76,Région Guelmim –Oued Noun,45,3,جهة كلميم واد نون
77,Guelmim,36,3,كلميم
78,Tan Tan,9,0,طان طان
79,Région Dakhla-Oued Eddahab,37,0,جهة الداخلة وادي الذهب
80,Oued Ed-Dahab,37,0,وادي الذهب
